Date,DBA,DX-Y.NYB,IAK,TRV,ZC=F,ZW=F,^TNX
2010-11-24,26.165653228759766,79.87000274658203,22.600971221923828,39.223846435546875,538.75,647.5,2.9140000343322754
2010-11-26,25.86285400390625,80.36000061035156,22.357290267944336,38.697166442871094,538.25,648.25,2.864000082015991
2010-11-29,26.05878257751465,80.83999633789062,22.418209075927734,38.56193161010742,538.25,650.25,2.822000026702881
2010-11-30,25.907381057739258,81.19999694824219,22.204998016357422,38.42670440673828,530.0,650.25,2.796999931335449
2010-12-01,26.468456268310547,80.70999908447266,22.6999568939209,39.0672492980957,551.75,697.5,2.9639999866485596
2010-12-02,26.55751609802246,80.30000305175781,23.088315963745117,39.223846435546875,540.75,706.5,3.0
2010-12-03,27.038434982299805,79.37999725341797,23.126394271850586,39.0459098815918,559.0,738.0,3.0169999599456787
2010-12-06,27.136402130126953,79.56999969482422,23.118778228759766,39.159786224365234,553.75,752.0,2.940999984741211
2010-12-07,26.806880950927734,79.86000061035156,23.16446876525879,39.031673431396484,547.25,743.0,3.1649999618530273
2010-12-08,27.038434982299805,80.0,23.507139205932617,39.44722366333008,559.5,742.0,3.2360000610351562
2010-12-09,26.976097106933594,80.06999969482422,23.674659729003906,39.13914489746094,560.25,748.25,3.2230000495910645
2010-12-10,26.851409912109375,80.06999969482422,23.834569931030273,39.24660873413086,560.25,735.5,3.2960000038146973
2010-12-13,27.350143432617188,79.27999877929688,23.918344497680664,39.61199188232422,575.25,740.25,3.2829999923706055
2010-12-14,27.19874382019043,79.37000274658203,23.857423782348633,39.64780044555664,574.5,721.0,3.4549999237060547
2010-12-15,27.252178192138672,80.26000213623047,23.872655868530273,39.51167678833008,584.25,764.75,3.5199999809265137
2010-12-16,27.332332611083984,80.18000030517578,23.933574676513672,39.662139892578125,587.5,749.75,3.4769999980926514
2010-12-17,27.759817123413086,80.37000274658203,23.95641326904297,39.533180236816406,596.5,756.75,3.3299999237060547
2010-12-20,27.902315139770508,80.62999725341797,24.04018211364746,39.72662353515625,599.5,769.5,3.3489999771118164
2010-12-21,28.08043098449707,80.72000122070312,24.26100730895996,40.02751541137695,602.25,765.0,3.3259999752044678
2010-12-22,28.38323402404785,80.7300033569336,24.422283172607422,40.01320266723633,609.0,783.5,3.3459999561309814
2010-12-23,28.543540954589844,80.5,24.25252342224121,39.74811935424805,614.0,783.0,3.3929998874664307
2010-12-27,28.59697723388672,80.37000274658203,24.34511947631836,39.970218658447266,615.25,780.25,3.3510000705718994
2010-12-28,28.79290771484375,80.36000061035156,24.28338623046875,39.877079010009766,623.25,798.25,3.4809999465942383
2010-12-29,28.75728416442871,79.80000305175781,24.28338623046875,39.826927185058594,624.0,799.25,3.3410000801086426
2010-12-30,28.365421295166016,79.5199966430664,24.175363540649414,39.79110336303711,616.0,784.75,3.36899995803833
2010-12-31,28.81071662902832,79.02999877929688,24.183074951171875,39.91288757324219,629.0,794.25,3.305000066757202
2011-01-03,28.76618766784668,79.12999725341797,24.638347625732422,39.99170684814453,620.5,805.5,3.3420000076293945
2011-01-04,28.187301635742188,79.44000244140625,24.568893432617188,39.81259536743164,608.5,789.25,3.3459999561309814
2011-01-05,28.45448112487793,80.26000213623047,24.630624771118164,39.57616424560547,619.25,808.25,3.4830000400543213
2011-01-06,28.11605453491211,80.79000091552734,24.545745849609375,38.96718978881836,602.0,789.0,3.4189999103546143
2011-01-07,28.16948890686035,81.01000213623047,24.4068546295166,38.2077751159668,595.0,774.0,3.328000068664551
2011-01-10,28.49901008605957,80.87999725341797,24.244810104370117,38.58030700683594,607.0,767.25,3.303999900817871
2011-01-11,28.659317016601562,80.8499984741211,24.34511947631836,38.61614227294922,607.0,759.5,3.3410000801086426
2011-01-12,29.122425079345703,80.02999877929688,24.5534610748291,39.11048889160156,631.0,770.5,3.3550000190734863
2011-01-13,29.22929573059082,79.19000244140625,24.45314598083496,39.16779708862305,642.5,783.5,3.3010001182556152
2011-01-14,29.122425079345703,79.16000366210938,24.576608657836914,39.13914489746094,648.75,773.25,3.3329999446868896
2011-01-18,29.353979110717773,78.95999908447266,24.676921844482422,39.16779708862305,659.5,793.25,3.364000082015991
2011-01-19,29.282733917236328,78.63999938964844,24.291109085083008,39.01017379760742,641.25,797.25,3.3369998931884766
2011-01-20,29.532100677490234,78.81999969482422,24.360551834106445,39.3182487487793,654.0,803.5,3.4590001106262207
2011-01-21,29.825998306274414,78.20999908447266,24.445432662963867,39.40422058105469,657.25,824.5,3.4159998893737793
2011-01-24,29.834901809692383,78.05000305175781,24.50716781616211,39.848411560058594,655.25,835.25,3.4079999923706055
2011-01-25,29.692407608032227,78.0,24.73093032836914,40.28544235229492,644.0,838.25,3.319000005722046
2011-01-26,30.26238441467285,77.9000015258789,24.83896827697754,40.26395034790039,657.75,856.5,3.427999973297119
2011-01-27,30.217857360839844,77.7300033569336,25.031871795654297,40.572025299072266,650.75,846.25,3.384999990463257
2011-01-28,30.20895004272461,78.12999725341797,24.39913558959961,39.98452377319336,644.0,825.75,3.3289999961853027
2011-01-31,30.538471221923828,77.73999786376953,24.491729736328125,40.30693817138672,659.5,840.75,3.378000020980835
2011-02-01,30.734399795532227,77.06999969482422,24.977859497070312,40.70098114013672,666.0,835.75,3.443000078201294
2011-02-02,31.081735610961914,77.16000366210938,24.700069427490234,40.62934112548828,669.25,863.0,3.489000082015991
2011-02-03,30.609718322753906,77.75,24.81581687927246,41.01621627807617,662.5,859.0,3.5409998893737793
2011-02-04,30.565189361572266,78.04000091552734,24.993297576904297,41.13085174560547,678.5,853.75,3.6519999504089355
2011-02-07,30.645341873168945,78.02999877929688,25.294235229492188,40.966060638427734,674.75,858.75,3.6440000534057617
2011-02-08,30.627532958984375,78.0,25.36367416381836,41.46758270263672,673.75,874.25,3.7249999046325684
2011-02-09,30.939241409301758,77.63999938964844,25.24021339416504,42.13386154174805,698.0,886.0,3.6419999599456787
2011-02-10,31.13516616821289,78.25,25.116764068603516,41.88310623168945,698.5,862.75,3.7079999446868896
2011-02-11,31.019392013549805,78.45999908447266,25.38681983947754,42.262813568115234,706.5,867.0,3.6459999084472656
2011-02-14,31.028297424316406,78.61000061035156,25.163055419921875,42.15535354614258,695.75,872.0,3.614000082015991
2011-02-15,30.645341873168945,78.56999969482422,25.232501983642578,42.52073287963867,690.5,840.25,3.615999937057495
2011-02-16,30.841276168823242,78.22000122070312,25.525726318359375,42.59955596923828,690.5,837.0,3.621000051498413
2011-02-17,31.384538650512695,78.0,25.795787811279297,42.828800201416016,712.75,850.75,3.5739998817443848
2011-02-18,31.090641021728516,77.66000366210938,25.980985641479492,43.64556121826172,709.75,822.25,3.5889999866485596
2011-02-22,30.440507888793945,77.7699966430664,25.402265548706055,43.36614227294922,679.75,762.25,3.4609999656677246
2011-02-23,30.529565811157227,77.41000366210938,25.22478675842285,43.287330627441406,691.5,763.0,3.486999988555908
2011-02-24,30.289104461669922,77.05999755859375,25.078174591064453,42.50640869140625,685.75,747.25,3.437999963760376
2011-02-25,30.912517547607422,77.27999877929688,25.40998649597168,42.699851989746094,712.0,776.5,3.424999952316284
2011-02-28,31.144075393676758,76.88999938964844,25.61832046508789,42.9362678527832,722.5,782.5,3.4140000343322754
2011-03-01,30.83237075805664,77.05000305175781,25.263368606567383,42.42760467529297,727.25,775.75,3.4140000343322754
2011-03-02,31.126258850097656,76.66999816894531,24.700069427490234,42.13386154174805,714.0,776.75,3.4639999866485596
2011-03-03,31.562650680541992,76.4800033569336,25.217065811157227,42.30580139160156,729.75,790.5,3.572000026702881
2011-03-04,31.437971115112305,76.4000015258789,25.13990592956543,42.39894485473633,721.25,800.5,3.492000102996826
2011-03-07,31.420156478881836,76.5,24.946998596191406,42.24132537841797,710.75,769.0,3.496999979019165
2011-03-08,31.4112548828125,76.80000305175781,25.294235229492188,42.57292175292969,698.75,751.25,3.5439999103546143
2011-03-09,31.22422981262207,76.72000122070312,25.278804779052734,42.818016052246094,695.0,732.25,3.4690001010894775
2011-03-10,30.431598663330078,77.27999877929688,24.777231216430664,42.18365478515625,676.25,714.0,3.3929998874664307
2011-03-11,30.27129364013672,76.77999877929688,24.846683502197266,42.44315719604492,659.25,695.0,3.3929998874664307
2011-03-14,29.995210647583008,76.3499984741211,24.545745849609375,42.428741455078125,664.0,700.5,3.3469998836517334
